Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,6.812500,6.830500,6.440000,6.500000,6.500000,693216000
2010-01-08,6.528000,6.684000,6.287500,6.367500,6.367500,964086000
2010-01-15,6.459000,6.482500,6.216500,6.331000,6.331000,866288000
2010-01-22,6.280000,6.383500,5.906000,6.301500,6.301500,1504204000
2010-01-29,6.488500,6.592500,5.691000,5.797000,5.797000,2310306000
2010-02-05,5.794000,6.050000,5.705000,6.004500,6.004500,894294000
2010-02-12,5.949500,6.025000,5.741000,5.904000,5.904000,715022000
2010-02-19,5.895500,5.990000,5.792500,5.910000,5.910000,758288000
2010-02-26,5.894000,6.442500,5.850000,6.426500,6.426500,901314000
2010-03-05,6.456500,6.681000,6.353500,6.679000,6.679000,626250000
2010-03-12,6.710000,6.710000,6.431500,6.638000,6.638000,519852000
2010-03-19,6.685500,6.845500,6.360000,6.736500,6.736500,788150000
2010-03-26,6.745000,6.909500,6.559000,6.590500,6.590500,615434000
2010-04-02,6.642500,7.062500,6.539000,7.048000,7.048000,648026000
2010-04-09,7.036000,7.354500,6.953500,7.291000,7.291000,639436000
2010-04-16,7.244000,7.554500,6.956500,7.504500,7.504500,825414000
2010-04-23,7.269000,7.454500,6.934500,7.086500,7.086500,1049640000
2010-04-30,7.070000,7.070000,6.030000,6.435500,6.435500,881660000
2010-05-07,6.398500,6.849500,6.188000,6.573500,6.573500,732450000
2010-05-14,6.518000,6.562500,5.939000,5.985500,5.985500,624692000
2010-05-21,5.895000,6.342500,5.876000,6.335000,6.335000,622570000
2010-05-28,6.303500,6.457500,6.082500,6.438000,6.438000,353118000
2010-06-04,6.316500,6.410000,5.790000,6.160500,6.160500,739590000
2010-06-11,6.069500,6.399000,6.014500,6.294500,6.294500,402238000
2010-06-18,6.324000,6.374000,5.840000,5.916500,5.916500,571942000
2010-06-25,5.907000,6.088000,5.300500,5.548000,5.548000,850374000
2010-07-02,5.546000,5.874000,5.428000,5.811000,5.811000,428248000
2010-07-09,5.827500,6.244000,5.732500,6.103000,6.103000,544890000
2010-07-16,6.064000,6.096000,5.850000,6.003500,6.003500,761178000
2010-07-23,5.296500,5.964000,5.290000,5.843000,5.843000,1460062000
2010-07-30,5.776500,6.423500,5.725500,6.391500,6.391500,640562000
2010-08-06,6.336000,6.500000,6.177500,6.328000,6.328000,515350000
2010-08-13,6.303000,6.540500,6.152000,6.378500,6.378500,530600000
2010-08-20,6.360000,6.461000,6.159000,6.243000,6.243000,468802000
2010-08-27,6.273000,6.760500,6.112500,6.760500,6.760500,505546000
2010-09-03,6.844500,7.068500,6.822500,7.019000,7.019000,425014000
2010-09-10,7.037500,7.411500,7.002000,7.406500,7.406500,503420000
2010-09-17,7.445000,7.796000,7.325000,7.642500,7.642500,698580000
2010-09-24,7.771500,8.089000,7.744500,7.853000,7.853000,808492000
2010-10-01,7.854000,8.060500,7.610000,7.813500,7.813500,606654000
2010-10-08,7.759000,7.847500,7.570000,7.776500,7.776500,526850000
2010-10-15,7.921000,8.306500,7.828500,8.248500,8.248500,865294000
2010-10-22,8.122500,8.599500,8.113500,8.342000,8.342000,758902000
2010-10-29,8.290000,8.626500,8.076000,8.446500,8.446500,560128000
2010-11-05,8.467500,8.668500,8.429500,8.518500,8.518500,520576000
2010-11-12,8.506000,8.563000,7.838500,8.208500,8.208500,682616000
2010-11-19,8.197500,8.894500,8.142000,8.862500,8.862500,542302000
2010-11-26,8.868000,9.092000,8.696000,8.826500,8.826500,640730000
2010-12-03,8.775000,9.073500,8.690000,8.742500,8.742500,478424000
2010-12-10,8.744000,8.950000,8.654500,8.902000,8.902000,427706000
2010-12-17,8.920500,9.282500,8.851000,9.129500,9.129500,485798000
2010-12-24,9.095000,9.227500,9.020500,9.137500,9.137500,186114000
2010-12-31,9.098000,9.385000,8.975500,9.293000,9.293000,408272000
2011-01-07,9.394000,9.422500,9.125500,9.276500,9.276500,349158000
2011-01-14,9.275000,9.580000,9.050000,9.098000,9.098000,343026000
2011-01-21,9.150000,9.250000,8.707500,9.222500,9.222500,708282000
2011-01-28,8.572500,8.760000,8.345000,8.685500,8.685500,798772000
2011-02-04,8.700000,9.362000,8.687500,9.310500,9.310500,620830000
2011-02-11,9.278000,9.570000,9.265500,9.388000,9.388000,409876000
2011-02-18,9.377000,9.425000,8.719500,8.887500,8.887500,399084000
2011-02-25,8.947500,9.037500,8.417500,8.639500,8.639500,522912000
2011-03-04,8.631000,8.637500,8.195000,8.307000,8.307000,563670000
2011-03-11,8.275000,8.460000,8.038000,8.048500,8.048500,504918000
2011-03-18,8.059500,8.600000,8.029500,8.555000,8.555000,522274000
2011-03-25,8.582000,9.078500,8.462500,9.006500,9.006500,485300000
2011-04-01,9.079000,9.413500,8.929500,9.245500,9.245500,508688000
2011-04-08,9.263000,9.324500,8.968000,9.091000,9.091000,403250000
2011-04-15,9.050000,9.298500,8.768500,9.294500,9.294500,379010000
2011-04-22,9.282500,9.890000,9.037000,9.753500,9.753500,911222000
2011-04-29,9.719000,10.171000,9.689000,9.855500,9.855500,665780000
2011-05-06,9.955000,10.309500,9.828000,10.303500,10.303500,506684000
2011-05-13,10.285000,10.319500,9.568500,9.940000,9.940000,584808000
2011-05-20,9.897500,9.990000,9.544000,9.750000,9.750000,385804000
2011-05-27,9.738000,9.922000,9.528000,9.682500,9.682500,245034000
2011-06-03,9.561500,9.660500,9.259000,9.484000,9.484000,429218000
2011-06-10,9.462500,9.622500,9.079500,9.182500,9.182500,478788000
2011-06-17,9.325500,9.760000,9.232000,9.708000,9.708000,421516000
2011-06-24,9.694000,10.312500,9.567500,10.224500,10.224500,451950000
2011-07-01,10.277500,10.890000,10.180500,10.837000,10.837000,266928000
2011-07-08,10.715000,10.916000,10.469000,10.519000,10.519000,397194000
2011-07-15,10.654000,11.010000,10.414500,10.660500,10.660500,386522000
2011-07-22,10.693000,11.360000,10.517500,11.195000,11.195000,702172000
2011-07-29,11.064500,11.372500,10.072500,10.074000,10.074000,646406000
2011-08-05,10.233500,10.366000,9.502500,9.918000,9.918000,942044000
2011-08-12,10.014000,10.264000,8.986000,9.126000,9.126000,557570000
2011-08-19,9.014500,9.849500,8.855000,9.601500,9.601500,598380000
2011-08-26,9.562000,10.882000,9.480000,10.627000,10.627000,568354000
2011-09-02,10.447000,11.032000,10.223500,10.863000,10.863000,402838000
2011-09-09,10.752500,11.360000,10.432500,11.339000,11.339000,524856000
2011-09-16,11.378500,12.200000,10.950000,11.161500,11.161500,829958000
2011-09-23,11.025500,11.790500,10.814500,11.122000,11.122000,878302000
2011-09-30,10.909500,11.181000,10.021500,11.075500,11.075500,704876000
2011-10-07,11.124000,12.092000,10.920500,11.807500,11.807500,565508000
2011-10-14,12.043500,12.335500,11.462500,11.680500,11.680500,531048000
2011-10-21,11.845500,12.023500,9.825500,10.339000,10.339000,1169388000
2011-10-28,10.326500,10.944500,10.287500,10.914500,10.914500,743450000
2011-11-04,10.882500,11.010000,10.405000,10.539500,10.539500,431310000
2011-11-11,10.626000,11.117500,10.105000,10.226000,10.226000,618336000
2011-11-18,10.266500,10.267000,9.179000,9.449500,9.449500,753712000
2011-11-25,9.520500,9.903500,9.075500,9.856500,9.856500,675982000
2011-12-02,9.853500,9.983000,9.456000,9.524000,9.524000,588774000
2011-12-09,9.560500,9.697500,8.512500,9.063000,9.063000,753468000
2011-12-16,9.121000,9.220500,8.624500,8.951500,8.951500,571188000
2011-12-23,8.961000,8.984000,8.348500,8.693000,8.693000,366324000
2011-12-30,8.668000,9.025000,8.624500,8.880500,8.880500,348098000
2012-01-06,8.903500,9.232500,8.787500,8.796500,8.796500,490792000
2012-01-13,8.790500,9.797000,8.675000,9.722500,9.722500,499350000
2012-01-20,9.535500,9.742500,9.191000,9.666000,9.666000,500988000
2012-01-27,9.654500,9.825000,8.600000,9.086000,9.086000,1058564000
2012-02-03,9.141500,9.395000,9.088000,9.249000,9.249000,624004000
2012-02-10,9.171000,9.678500,8.757000,8.996500,8.996500,835076000
2012-02-17,9.004500,9.237500,8.848000,8.944500,8.944500,502276000
2012-02-24,8.985000,9.214500,8.825000,9.002000,9.002000,467514000
2012-03-02,8.974000,9.419000,8.902000,9.382000,9.382000,462514000
2012-03-09,9.339500,9.360000,9.015000,9.221500,9.221500,387276000
2012-03-16,9.164000,9.720500,9.117500,9.620000,9.620000,519136000
2012-03-23,9.600500,10.492500,9.590000,10.230500,10.230500,703094000
2012-03-30,10.251000,10.342500,9.618000,9.719500,9.719500,490870000
2012-04-06,9.601000,9.710000,9.280500,9.534500,9.534500,319132000
2012-04-13,9.495000,9.727500,9.182500,9.555000,9.555000,366192000
2012-04-20,9.617000,9.818000,9.275500,9.799500,9.799500,485800000
2012-04-27,11.241500,11.692000,11.011000,11.472500,11.472500,945552000
2012-05-04,11.390000,11.486000,10.910000,11.334500,11.334500,415646000
2012-05-11,11.297500,11.534000,10.904500,10.918000,10.918000,455424000
2012-05-18,10.970500,10.999000,10.559000,10.762000,10.762000,398590000
2012-05-25,10.749500,10.827500,10.355500,10.645500,10.645500,277750000
2012-06-01,10.422000,11.074500,10.318500,10.940000,10.940000,360180000
2012-06-08,10.930500,11.043500,10.628000,10.722500,10.722500,296910000
2012-06-15,10.764500,11.301500,10.723000,11.028500,11.028500,303176000
2012-06-22,11.091500,11.375000,10.900000,11.065500,11.065500,282358000
2012-06-29,11.235000,11.525000,11.185500,11.353000,11.353000,199182000
2012-07-06,11.317500,11.445000,10.630500,10.768000,10.768000,269164000
2012-07-13,10.781500,11.375000,10.694000,11.308500,11.308500,275110000
2012-07-20,11.268000,11.469500,10.747500,11.000500,11.000500,505558000
2012-07-27,11.262500,12.037000,11.225000,11.540500,11.540500,481916000
2012-08-03,11.701500,11.900000,11.651500,11.703000,11.703000,196194000
2012-08-10,11.654000,12.141000,11.550000,12.077500,12.077500,283552000
2012-08-17,12.030000,12.245000,11.910000,12.060000,12.060000,249496000
2012-08-24,12.084000,12.500000,12.068000,12.311000,12.311000,295818000
2012-08-31,12.403500,12.635000,12.233000,12.569000,12.569000,306246000
2012-09-07,12.692500,13.100000,12.675000,13.012000,13.012000,318406000
2012-09-14,13.070000,13.205500,12.850000,13.040500,13.040500,274758000
2012-09-21,13.087000,13.100000,12.411500,12.829500,12.829500,389818000
2012-09-28,12.807000,13.076000,12.451500,13.023500,13.023500,253592000
2012-10-05,13.060000,13.095000,12.094500,12.211000,12.211000,309184000
2012-10-12,12.159000,12.545500,11.925500,12.242500,12.242500,319502000
2012-10-19,12.258000,12.341000,11.146000,11.146000,11.146000,474922000
2012-10-26,11.430000,11.935500,11.334500,11.607000,11.607000,401404000
2012-11-02,11.700500,11.887500,11.355000,11.367500,11.367500,289774000
2012-11-09,11.313000,11.548500,10.909000,11.030000,11.030000,285798000
2012-11-16,11.065500,11.933500,10.932000,11.901500,11.901500,273500000
2012-11-23,11.994500,12.624000,11.824000,12.563500,12.563500,341150000
2012-11-30,12.519000,12.777500,12.413500,12.668500,12.668500,326256000
2012-12-07,12.707000,12.760500,12.332500,12.562500,12.562500,298952000
2012-12-14,12.505500,13.155500,12.389500,13.075000,13.075000,292990000
2012-12-21,12.891000,12.975000,12.143000,12.415500,12.415500,269620000
2012-12-28,12.292500,13.044000,12.137500,12.924000,12.924000,225992000
2013-01-04,12.879000,13.486500,12.832500,13.267000,13.267000,298478000
2013-01-11,13.255000,13.713000,13.205500,13.524000,13.524000,259308000
2013-01-18,13.541500,13.832500,13.332500,13.673000,13.673000,220112000
2013-01-25,13.750000,14.236000,12.917500,13.275000,13.275000,786192000
2013-02-01,13.446500,13.446500,12.755500,13.011500,13.011500,411952000
2013-02-08,13.070000,13.532500,12.830000,13.462000,13.462000,379652000
2013-02-15,13.381500,13.715000,13.155500,13.297000,13.297000,280008000
2013-02-22,13.331000,13.434500,12.786500,13.213500,13.213500,301622000
2013-03-01,13.163500,13.834000,13.052000,13.694000,13.694000,281718000
2013-03-08,13.750000,13.870000,13.176500,13.287000,13.287000,282836000
2013-03-15,13.249000,13.363000,12.631000,12.669500,12.669500,337398000
2013-03-22,12.727500,13.369000,12.603500,13.324500,13.324500,268162000
2013-03-29,13.349000,13.370000,12.806000,12.954000,12.954000,190682000
2013-04-05,12.786000,13.548500,12.683500,13.492500,13.492500,248452000
2013-04-12,13.506000,13.756000,12.830000,12.971000,12.971000,292044000
2013-04-19,12.908000,13.790000,12.875000,13.735000,13.735000,299230000
2013-04-26,13.498500,13.601000,12.287500,12.627500,12.627500,674468000
2013-05-03,12.807000,13.177500,12.645500,13.008000,13.008000,288836000
2013-05-10,13.044000,13.470000,13.010500,13.206000,13.206000,247176000
2013-05-17,13.291500,13.589500,12.979500,13.090000,13.090000,236196000
2013-05-24,12.992500,13.555000,12.917000,13.341500,13.341500,174764000
2013-05-31,13.300000,13.595500,13.147500,13.391500,13.391500,279908000
2013-06-07,13.487000,14.123500,13.456500,13.789500,13.789500,314112000
2013-06-14,13.750000,14.167000,13.619500,13.672000,13.672000,259848000
2013-06-21,13.728500,14.010000,13.250000,13.877500,13.877500,321268000
2013-06-28,13.809500,14.329000,13.809500,14.201500,14.201500,213854000
2013-07-05,14.250000,15.034500,14.103500,14.983000,14.983000,272504000
2013-07-12,14.934500,15.469500,14.925000,15.205500,15.205500,290772000
2013-07-19,15.219500,15.462500,14.837500,15.170000,15.170000,297994000
2013-07-26,14.977500,15.681000,14.777500,15.278500,15.278500,398914000
2013-08-02,15.231500,15.266500,14.627500,14.787000,14.787000,217784000
2013-08-09,14.784000,14.963500,14.257500,14.323500,14.323500,189622000
2013-08-16,14.327500,14.493500,14.174000,14.486500,14.486500,194482000
2013-08-23,14.560500,14.575000,13.966500,14.199000,14.199000,183462000
2013-08-30,14.229500,14.850000,14.000000,14.705000,14.705000,173750000
2013-09-06,14.766500,15.100000,14.540000,14.943000,14.943000,181256000
2013-09-13,15.007000,15.727000,14.763000,15.603000,15.603000,215056000
2013-09-20,15.627000,16.028500,15.438500,15.906000,15.906000,264386000
2013-09-27,15.846000,16.146000,15.553000,15.738000,15.738000,211394000
2013-10-04,15.756500,15.960000,14.825000,15.258500,15.258500,257338000
2013-10-11,15.238500,15.582500,15.192000,15.538500,15.538500,223648000
2013-10-18,15.968000,16.855499,15.837500,16.610500,16.610500,422610000
2013-10-25,17.930000,18.420000,17.631001,18.201500,18.201500,496540000
2013-11-01,18.281500,18.288500,17.094000,17.177999,17.177999,276102000
2013-11-08,17.297501,18.447001,17.202000,18.370001,18.370001,283896000
2013-11-15,18.381500,18.674500,18.022499,18.445999,18.445999,257398000
2013-11-22,18.500000,19.350000,18.315500,19.335501,19.335501,218638000
2013-11-29,19.455000,19.950001,19.068501,19.224501,19.224501,301694000
