Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,4.627500,4.740000,4.527500,4.627500,4.245015,272581200
2010-01-08,4.590000,4.682500,4.275000,4.407500,4.043198,277960400
2010-01-15,4.375000,4.415000,4.220000,4.262500,3.910183,269188000
2010-01-22,4.212500,4.290000,3.965000,4.022500,3.690021,392649600
2010-01-29,4.067500,4.237500,3.787500,3.975000,3.646447,392012000
2010-02-05,3.970000,4.325000,3.900000,4.280000,3.926238,321196800
2010-02-12,4.250000,4.475000,4.052500,4.167500,3.823036,362930400
2010-02-19,4.150000,4.225000,3.940000,4.100000,3.761116,248123600
2010-02-26,4.080000,4.302500,4.020000,4.165000,3.820743,244460800
2010-03-05,4.135000,4.445000,4.135000,4.297500,3.942291,286215600
2010-03-12,4.345000,4.585000,4.250000,4.365000,4.004210,293637600
2010-03-19,4.430000,4.495000,4.257500,4.335000,3.976692,244499600
2010-03-26,4.372500,4.462500,4.260000,4.305000,3.949172,179274000
2010-04-02,4.332500,4.377500,4.187500,4.220000,3.871197,307796400
2010-04-09,4.210000,4.532500,4.187500,4.502500,4.130346,387104400
2010-04-16,4.320000,4.337500,4.025000,4.167500,3.823036,524325600
2010-04-23,4.155000,4.200000,3.957500,4.162500,3.818449,351000400
2010-04-30,4.112500,4.120000,3.260000,3.550000,3.256575,579212400
2010-05-07,3.582500,3.822500,3.365000,3.662500,3.359776,511522800
2010-05-14,3.415000,3.425000,3.002500,3.115000,2.857531,597889600
2010-05-21,3.025000,3.375000,2.962500,3.375000,3.096040,440940400
2010-05-28,3.370000,3.370000,3.105000,3.175000,2.912571,230805600
2010-06-04,3.082500,3.137500,2.717500,2.837500,2.602967,352526000
2010-06-11,2.807500,3.062500,2.800000,3.055000,2.802490,257136400
2010-06-18,3.072500,3.147500,2.767500,2.777500,2.547926,366992000
2010-06-25,2.797500,2.815000,2.482500,2.595000,2.380512,290011600
2010-07-02,2.605000,2.677500,2.475000,2.577500,2.364458,284080000
2010-07-09,2.590000,2.870000,2.555000,2.680000,2.458486,416898000
2010-07-16,2.680000,2.707500,2.502500,2.635000,2.417205,433558400
2010-07-23,2.632500,2.650000,2.267500,2.282500,2.093840,616990800
2010-07-30,2.265000,2.365000,2.217500,2.360000,2.164934,451275200
2010-08-06,2.350000,2.415000,2.162500,2.240000,2.054853,411865200
2010-08-13,2.312500,2.477500,2.257500,2.470000,2.265843,506064400
2010-08-20,2.452500,2.562500,2.370000,2.450000,2.247495,411038800
2010-08-27,2.465000,2.550000,2.325000,2.392500,2.194748,404244000
2010-09-03,2.450000,2.615000,2.420000,2.545000,2.334643,338820800
2010-09-10,2.562500,2.692500,2.495000,2.642500,2.424085,324447200
2010-09-17,2.667500,2.995000,2.612500,2.905000,2.664887,488054400
2010-09-24,2.970000,3.090000,2.895000,2.920000,2.678648,457220800
2010-10-01,2.962500,2.967500,2.595000,2.675000,2.453899,432130000
2010-10-08,2.665000,2.875000,2.627500,2.790000,2.559393,332272400
2010-10-15,2.835000,2.900000,2.730000,2.772500,2.543339,373219200
2010-10-22,2.790000,3.060000,2.760000,3.012500,2.763502,387230400
2010-10-29,3.007500,3.157500,2.975000,3.100000,2.843770,298138400
2010-11-05,3.122500,3.205000,3.067500,3.152500,2.891930,358523200
2010-11-12,3.272500,3.420000,3.145000,3.330000,3.054760,516034800
2010-11-19,3.322500,3.460000,3.317500,3.442500,3.157961,203476800
2010-11-26,3.440000,3.617500,3.340000,3.595000,3.297856,248808400
2010-12-03,3.577500,3.832500,3.570000,3.715000,3.407937,362694000
2010-12-10,3.715000,3.780000,3.562500,3.572500,3.277217,307221600
2010-12-17,3.575000,3.762500,3.532500,3.730000,3.421697,215596800
2010-12-24,3.720000,3.777500,3.652500,3.747500,3.437752,80190800
2010-12-31,3.750000,4.835000,3.745000,4.832500,4.433072,678161200
2011-01-07,4.777500,5.960000,4.670000,5.847500,5.364177,1316850800
2011-01-14,5.747500,5.995000,5.447500,5.607500,5.144012,571800400
2011-01-21,5.667500,6.262500,5.545000,6.117500,5.611860,561505600
2011-01-28,6.132500,6.542500,5.800000,6.275000,5.756341,513645200
2011-02-04,6.362500,6.467500,5.650000,5.705000,5.233455,520359200
2011-02-11,5.685000,6.502500,5.592500,6.420000,5.889356,832254400
2011-02-18,6.385000,6.487500,5.445000,5.662500,5.194467,552878400
2011-02-25,5.815000,5.877500,5.060000,5.217500,4.786250,597964000
2011-03-04,5.222500,5.275000,4.475000,4.480000,4.109707,696779600
2011-03-11,4.517500,4.662500,4.252500,4.465000,4.095948,646150800
2011-03-18,4.535000,4.862500,4.260000,4.807500,4.410136,492011200
2011-03-25,4.850000,4.910000,4.530000,4.615000,4.233547,494787200
2011-04-01,4.675000,4.680000,4.327500,4.525000,4.150988,447366800
2011-04-08,4.560000,4.630000,4.207500,4.627500,4.245015,413780800
2011-04-15,4.592500,4.737500,4.382500,4.630000,4.247309,344498000
2011-04-22,4.650000,4.975000,4.647500,4.877500,4.474351,242961600
2011-04-29,4.910000,5.110000,4.562500,4.665000,4.279414,344118000
2011-05-06,4.762500,5.130000,4.725000,5.125000,4.701395,407838400
2011-05-13,4.800000,4.812500,4.280000,4.445000,4.077600,548347200
2011-05-20,4.435000,4.745000,4.400000,4.705000,4.316110,313594000
2011-05-27,4.725000,5.012500,4.705000,4.762500,4.368856,322934000
2011-06-03,4.707500,4.750000,4.185000,4.342500,3.983572,273016400
2011-06-10,4.350000,4.380000,3.987500,4.047500,3.712955,356370800
2011-06-17,4.095000,4.097500,3.827500,4.052500,3.717542,431386400
2011-06-24,4.032500,4.067500,3.715000,3.985000,3.655620,397624800
2011-07-01,3.985000,4.070000,3.862500,3.932500,3.607460,259181600
2011-07-08,3.877500,3.905000,3.502500,3.520000,3.229056,392487200
2011-07-15,3.540000,3.700000,3.405000,3.675000,3.371245,405453600
2011-07-22,3.707500,3.762500,3.397500,3.457500,3.171721,330277600
2011-07-29,3.422500,3.845000,3.350000,3.350000,3.073107,479867600
2011-08-05,3.427500,3.470000,2.962500,3.352500,3.075400,590344400
2011-08-12,3.710000,3.715000,2.950000,2.985000,2.738275,613269600
2011-08-19,2.935000,3.310000,2.912500,3.120000,2.862118,368998800
2011-08-26,3.107500,3.480000,3.052500,3.320000,3.045586,348706800
